book_id,ADR_USD,hotel_id,city_id,star_rating,accommodation_type_name,chain_hotel,booking_date,checkin_date,checkout_date,checkin_day
1,71.06,297388,9395,2.5,Hotel,non-chain,2/8/16,1/10/16,2/10/16,weekend
2,76.56,298322,9395,3,Hotel,non-chain,2/8/16,1/10/16,2/10/16,weekend
3,153.88,2313076,9395,5,Hotel,chain,2/8/16,1/10/16,2/10/16,weekend
4,126.6,2240838,9395,3.5,Hotel,non-chain,4/8/16,2/10/16,3/10/16,weekend
5,115.08,2240838,9395,3.5,Hotel,non-chain,4/8/16,2/10/16,3/10/16,weekend
6,81.6,331350,9395,3,Hotel,non-chain,4/8/16,3/10/16,5/10/16,weekday
7,77.16,782884,9395,3,Hotel,chain,4/8/16,3/10/16,4/10/16,weekday
8,168.36,2313076,9395,5,Hotel,chain,4/8/16,2/10/16,5/10/16,weekend
9,48.18,2325228,9395,2,Serviced Apartment,non-chain,4/8/16,1/10/16,2/10/16,weekend
10,81.74,331350,9395,3,Hotel,non-chain,5/8/16,1/10/16,4/10/16,weekend
11,172.05,1853178,9395,4,Hotel,non-chain,6/8/16,1/10/16,4/10/16,weekend
12,24.92,1737924,9395,2,Hostel,non-chain,6/8/16,1/10/16,4/10/16,weekend
13,81.4,331350,9395,3,Hotel,non-chain,6/8/16,2/10/16,5/10/16,weekend
14,43.32,572060,9395,2,Serviced Apartment,non-chain,6/8/16,2/10/16,3/10/16,weekend
15,64.86,588768,9395,3,Hotel,non-chain,6/8/16,5/10/16,6/10/16,weekday
16,234.12,2313076,9395,5,Hotel,chain,7/8/16,6/10/16,7/10/16,weekday
17,116.98,257678,9395,4,Hotel,non-chain,7/8/16,4/10/16,5/10/16,weekday
18,181.42,2313076,9395,5,Hotel,chain,7/8/16,2/10/16,4/10/16,weekend
19,159.62,96982,9395,4,Hotel,chain,8/8/16,7/10/16,10/10/16,weekday
20,148.21,150994,9395,3,Hotel,non-chain,8/8/16,7/10/16,10/10/16,weekday
21,81.4,331350,9395,3,Hotel,non-chain,8/8/16,3/10/16,5/10/16,weekday
22,42.1,197996,9395,3.5,Hotel,non-chain,8/8/16,3/10/16,4/10/16,weekday
23,261.66,597472,9395,3,Guest House / Bed & Breakfast,non-chain,8/8/16,5/10/16,6/10/16,weekday
24,365.6,525626,9395,5,Hotel,chain,9/8/16,7/10/16,8/10/16,weekday
25,365.6,525626,9395,5,Hotel,chain,9/8/16,8/10/16,9/10/16,weekend
26,144.74,373272,9395,4.5,Hotel,chain,9/8/16,7/10/16,10/10/16,weekday
27,58.62,297388,9395,2.5,Hotel,non-chain,9/8/16,1/10/16,4/10/16,weekend
28,79.54,581660,9395,3,Hotel,non-chain,9/8/16,3/10/16,6/10/16,weekday
29,310.62,587866,9395,4,Serviced Apartment,non-chain,9/8/16,6/10/16,7/10/16,weekday
30,118.6,587866,9395,4,Serviced Apartment,non-chain,9/8/16,7/10/16,9/10/16,weekday
31,56.56,2288310,9395,1.5,Hostel,non-chain,9/8/16,8/10/16,9/10/16,weekend
32,112.18,824942,9395,3.5,Serviced Apartment,non-chain,9/8/16,7/10/16,8/10/16,weekday
33,112.3,373272,9395,4.5,Hotel,chain,9/8/16,5/10/16,6/10/16,weekday
34,84.8,782884,9395,3,Hotel,chain,9/8/16,7/10/16,8/10/16,weekday
35,84.8,782884,9395,3,Hotel,chain,9/8/16,7/10/16,8/10/16,weekday
36,130.1,373272,9395,4.5,Hotel,chain,10/8/16,8/10/16,10/10/16,weekend
37,81.9,331350,9395,3,Hotel,non-chain,10/8/16,1/10/16,3/10/16,weekend
