book_id,ADR_USD,hotel_id,city_id,star_rating,accommodation_type_name,chain_hotel,booking_date,checkin_date,checkout_date,checkin_day
1,89.86,861894,17193,3,Resort,non-chain,4/8/16,1/10/16,3/10/16,weekend
2,459.35,195300,17193,5,Resort,non-chain,5/8/16,3/10/16,6/10/16,weekday
3,183.63,770,17193,4,Hotel,chain,7/8/16,1/10/16,4/10/16,weekend
4,191.28,3644,17193,5,Resort,chain,8/8/16,7/10/16,8/10/16,weekday
5,54.86,2030338,17193,3,Hotel,non-chain,8/8/16,2/10/16,3/10/16,weekend
6,54.86,2030338,17193,3,Hotel,non-chain,8/8/16,2/10/16,3/10/16,weekend
7,228.6,2062808,17193,4,Resort Villa,non-chain,8/8/16,5/10/16,7/10/16,weekday
8,68.18,1874372,17193,2,Hotel,non-chain,9/8/16,2/10/16,3/10/16,weekend
9,1152.5,1968534,17193,5,Resort,chain,10/8/16,5/10/16,7/10/16,weekday
10,62.32,592520,17193,4,Hotel,non-chain,10/8/16,8/10/16,9/10/16,weekend
11,219.98,195184,17193,5,Resort,chain,10/8/16,1/10/16,3/10/16,weekend
12,49.18,581326,17193,2,Guest House / Bed & Breakfast,non-chain,10/8/16,6/10/16,8/10/16,weekday
13,61.54,2387924,17193,3.5,Hotel,non-chain,11/8/16,8/10/16,9/10/16,weekend
14,99.84,674892,17193,4,Resort,non-chain,13/8/16,6/10/16,8/10/16,weekday
15,145.06,195200,17193,3,Resort,non-chain,13/8/16,2/10/16,5/10/16,weekend
16,462.93,195300,17193,5,Resort,non-chain,14/8/16,12/10/16,15/10/16,weekday
17,132.08,480820,17193,3,Resort Villa,non-chain,14/8/16,2/10/16,3/10/16,weekend
18,90.64,818398,17193,3,Resort,non-chain,14/8/16,3/10/16,5/10/16,weekday
19,166.98,12198,17193,4,Resort,non-chain,15/8/16,3/10/16,6/10/16,weekday
20,92.02,818398,17193,3,Resort,non-chain,15/8/16,14/10/16,16/10/16,weekday
21,46.86,198122,17193,3,Hotel,non-chain,15/8/16,6/10/16,7/10/16,weekday
22,1055.78,97440,17193,5,Resort,chain,16/8/16,2/10/16,3/10/16,weekend
23,103.34,97372,17193,3,Resort,non-chain,16/8/16,15/10/16,18/10/16,weekend
24,139.18,1330682,17193,4,Hotel,non-chain,17/8/16,9/10/16,10/10/16,weekend
25,73.79,1244576,17193,4,Hotel,chain,17/8/16,6/10/16,9/10/16,weekday
26,87.83,600920,17193,2,Resort,non-chain,17/8/16,13/10/16,16/10/16,weekday
27,111.09,510096,17193,3,Hotel,non-chain,18/8/16,1/10/16,4/10/16,weekend
28,73.43,2387924,17193,3.5,Hotel,non-chain,18/8/16,1/10/16,3/10/16,weekend
29,80.28,2321888,17193,2,Guest House / Bed & Breakfast,non-chain,18/8/16,16/10/16,17/10/16,weekend
30,87.92,861894,17193,3,Resort,non-chain,18/8/16,14/10/16,16/10/16,weekday
31,173.48,979868,17193,3,Resort Villa,non-chain,18/8/16,7/10/16,9/10/16,weekday
32,116.54,91124,17193,5,Resort,non-chain,18/8/16,6/10/16,7/10/16,weekday
33,95.09,890782,17193,4,Resort,non-chain,19/8/16,12/10/16,15/10/16,weekday
34,98.04,97372,17193,3,Resort,non-chain,19/8/16,18/10/16,19/10/16,weekday
35,54.86,461394,17193,3,Resort,non-chain,19/8/16,3/10/16,4/10/16,weekday
36,190.84,3644,17193,5,Resort,chain,19/8/16,14/10/16,15/10/16,weekday
37,203.92,12198,17193,4,Resort,non-chain,19/8/16,18/10/16,19/10/16,weekday
38,96.92,97322,17193,3,Resort,non-chain,20/8/16,2/10/16,3/10/16,weekend
39,240.66,671300,17193,4,Resort,non-chain,20/8/16,4/10/16,6/10/16,weekday
40,408.52,195200,17193,3,Resort,non-chain,20/8/16,15/10/16,18/10/16,weekend
41,324.66,482150,17193,5,Resort,non-chain,21/8/16,11/10/16,14/10/16,weekday
42,173.8,3644,17193,5,Resort,chain,21/8/16,14/10/16,16/10/16,weekday
43,173.8,3644,17193,5,Resort,chain,21/8/16,16/10/16,17/10/16,weekend
44,82.86,156510,17193,4,Hotel,non-chain,21/8/16,19/10/16,21/10/16,weekday
45,99.64,1244576,17193,4,Hotel,chain,21/8/16,13/10/16,14/10/16,weekday
46,54.17,2321888,17193,2,Guest House / Bed & Breakfast,non-chain,21/8/16,1/10/16,4/10/16,weekend
47,119.81,606968,17193,4,Resort Villa,chain,21/8/16,8/10/16,10/10/16,weekend
48,73.62,387170,17193,3,Hotel,non-chain,21/8/16,5/10/16,6/10/16,weekday
49,181.46,1244576,17193,4,Hotel,chain,21/8/16,16/10/16,18/10/16,weekend
50,122.9,677150,17193,3,Resort,non-chain,22/8/16,15/10/16,17/10/16,weekend
51,174.24,195200,17193,3,Resort,non-chain,22/8/16,1/10/16,3/10/16,weekend
52,132.4,823638,17193,2,Resort,non-chain,22/8/16,8/10/16,11/10/16,weekend
53,109.58,924978,17193,4,Guest House / Bed & Breakfast,non-chain,22/8/16,2/10/16,3/10/16,weekend
54,22.02,1743438,17193,1,Guest House / Bed & Breakfast,non-chain,23/8/16,15/10/16,16/10/16,weekend
55,120.9,91124,17193,5,Resort,non-chain,23/8/16,15/10/16,18/10/16,weekend
56,287.58,824426,17193,4,Hotel,non-chain,23/8/16,21/10/16,24/10/16,weekday
57,51.13,198122,17193,3,Hotel,non-chain,23/8/16,15/10/16,17/10/16,weekend
58,138.6,671300,17193,4,Resort,non-chain,23/8/16,10/10/16,11/10/16,weekday
59,65.76,392550,17193,3,Hotel,non-chain,23/8/16,5/10/16,7/10/16,weekday
60,75.28,1146892,17193,3,Guest House / Bed & Breakfast,non-chain,23/8/16,2/10/16,3/10/16,weekend
61,362.18,568510,17193,4,Private Villa,non-chain,23/8/16,9/10/16,11/10/16,weekend
62,80.26,592520,17193,4,Hotel,non-chain,23/8/16,6/10/16,9/10/16,weekday
63,323.48,1093026,17193,4,Hotel,non-chain,23/8/16,8/10/16,10/10/16,weekend
64,171.6,2297124,17193,4,Resort Villa,non-chain,23/8/16,7/10/16,9/10/16,weekday
65,159.8,671300,17193,4,Resort,non-chain,24/8/16,15/10/16,17/10/16,weekend
66,79.78,2321888,17193,2,Guest House / Bed & Breakfast,non-chain,24/8/16,1/10/16,4/10/16,weekend
67,99.36,1244576,17193,4,Hotel,chain,24/8/16,13/10/16,14/10/16,weekday
68,85.84,861894,17193,3,Resort,non-chain,24/8/16,2/10/16,3/10/16,weekend
69,123.08,91124,17193,5,Resort,non-chain,24/8/16,17/10/16,19/10/16,weekday
70,210.62,91124,17193,5,Resort,non-chain,24/8/16,17/10/16,19/10/16,weekday
71,48.36,890782,17193,4,Resort,non-chain,24/8/16,7/10/16,8/10/16,weekday
72,779.14,323444,17193,5,Resort,non-chain,25/8/16,19/10/16,20/10/16,weekday
73,167.38,770,17193,4,Hotel,chain,25/8/16,6/10/16,7/10/16,weekday
74,47.02,470208,17193,3,Resort,non-chain,25/8/16,10/10/16,12/10/16,weekday
75,127.42,582268,17193,4,Resort,chain,25/8/16,13/10/16,14/10/16,weekday
76,140.78,677150,17193,3,Resort,non-chain,25/8/16,5/10/16,8/10/16,weekday
77,52.7,461140,17193,3,Hotel,non-chain,26/8/16,10/10/16,13/10/16,weekday
78,56.34,470208,17193,3,Resort,non-chain,26/8/16,4/10/16,7/10/16,weekday
79,142.14,91124,17193,5,Resort,non-chain,26/8/16,9/10/16,11/10/16,weekend
80,500.14,526786,17193,4,Resort Villa,non-chain,26/8/16,9/10/16,10/10/16,weekend
81,54.8,461140,17193,3,Hotel,non-chain,26/8/16,13/10/16,14/10/16,weekday
82,140.96,1563948,17193,3,Guest House / Bed & Breakfast,non-chain,26/8/16,8/10/16,11/10/16,weekend
83,73.84,1146892,17193,3,Guest House / Bed & Breakfast,non-chain,26/8/16,11/10/16,13/10/16,weekday
84,171.82,671300,17193,4,Resort,non-chain,27/8/16,17/10/16,20/10/16,weekday
85,262.28,1243334,17193,4,Hotel,chain,27/8/16,6/10/16,8/10/16,weekday
86,599.04,195300,17193,5,Resort,non-chain,27/8/16,14/10/16,15/10/16,weekday
87,159.76,770,17193,4,Hotel,chain,27/8/16,16/10/16,18/10/16,weekend
88,72.48,482214,17193,4,Resort,non-chain,28/8/16,7/10/16,10/10/16,weekday
89,84.4,2387924,17193,3.5,Hotel,non-chain,28/8/16,8/10/16,9/10/16,weekend
90,64.58,1244576,17193,4,Hotel,chain,28/8/16,11/10/16,13/10/16,weekday
91,64.58,1244576,17193,4,Hotel,chain,28/8/16,11/10/16,13/10/16,weekday
92,308.14,3644,17193,5,Resort,chain,28/8/16,5/10/16,8/10/16,weekday
93,79.4,156510,17193,4,Hotel,non-chain,28/8/16,10/10/16,13/10/16,weekday
94,96.72,1822964,17193,4,Hotel,chain,28/8/16,1/10/16,3/10/16,weekend
95,1261.2,1968534,17193,5,Resort,chain,28/8/16,3/10/16,6/10/16,weekday
96,87.44,583688,17193,3,Bungalow,non-chain,28/8/16,6/10/16,9/10/16,weekday
97,369.5,528496,17193,4,Resort Villa,non-chain,28/8/16,2/10/16,5/10/16,weekend
98,58.18,97354,17193,3,Hotel,non-chain,29/8/16,27/10/16,29/10/16,weekday
99,172.2,979868,17193,3,Resort Villa,non-chain,29/8/16,20/10/16,22/10/16,weekday
100,54.42,339534,17193,4,Resort,chain,29/8/16,16/10/16,17/10/16,weekend
101,114.4,1563948,17193,3,Guest House / Bed & Breakfast,non-chain,29/8/16,4/10/16,7/10/16,weekday
102,49.12,138770,17193,3,Resort,non-chain,29/8/16,2/10/16,3/10/16,weekend
103,70.11,861894,17193,3,Resort,non-chain,29/8/16,28/10/16,31/10/16,weekday
104,63.22,2231640,17193,3,Guest House / Bed & Breakfast,non-chain,29/8/16,2/10/16,5/10/16,weekend
105,486.02,1071000,17193,3,Resort Villa,non-chain,29/8/16,22/10/16,24/10/16,weekend
106,48.56,581326,17193,2,Guest House / Bed & Breakfast,non-chain,30/8/16,6/10/16,7/10/16,weekday
107,79.18,1514176,17193,3,Resort,non-chain,30/8/16,8/10/16,9/10/16,weekend
108,226.08,1136726,17193,3,Guest House / Bed & Breakfast,non-chain,30/8/16,22/10/16,23/10/16,weekend
109,172.36,3644,17193,5,Resort,chain,30/8/16,22/10/16,24/10/16,weekend
110,139.48,91124,17193,5,Resort,non-chain,30/8/16,7/10/16,10/10/16,weekday
111,48.18,578630,17193,3,Resort,non-chain,30/8/16,6/10/16,8/10/16,weekday
112,124.7,606968,17193,4,Resort Villa,chain,30/8/16,1/10/16,3/10/16,weekend
113,60.29,1815208,17193,3,Guest House / Bed & Breakfast,non-chain,30/8/16,27/10/16,30/10/16,weekday
114,70.98,861894,17193,3,Resort,non-chain,31/8/16,6/10/16,7/10/16,weekday
115,322.1,482150,17193,5,Resort,non-chain,31/8/16,1/10/16,3/10/16,weekend
116,73.68,583688,17193,3,Bungalow,non-chain,31/8/16,13/10/16,15/10/16,weekday
117,60.75,2231640,17193,3,Guest House / Bed & Breakfast,non-chain,31/8/16,27/10/16,30/10/16,weekday
118,233.58,770,17193,4,Hotel,chain,31/8/16,10/10/16,13/10/16,weekday
119,58.16,2387924,17193,3.5,Hotel,non-chain,31/8/16,1/10/16,3/10/16,weekend
120,56.2,198122,17193,3,Hotel,non-chain,31/8/16,8/10/16,9/10/16,weekend
121,56.2,198122,17193,3,Hotel,non-chain,31/8/16,8/10/16,9/10/16,weekend
122,150.38,91124,17193,5,Resort,non-chain,31/8/16,20/10/16,21/10/16,weekday
123,169.48,3644,17193,5,Resort,chain,1/9/16,11/10/16,13/10/16,weekday
124,82.69,198122,17193,3,Hotel,non-chain,1/9/16,7/10/16,8/10/16,weekday
125,23.7,1861852,17193,2,Serviced Apartment,non-chain,1/9/16,4/10/16,7/10/16,weekday
126,267.16,675422,17193,3,Resort Villa,non-chain,1/9/16,31/10/16,1/11/16,weekday
127,174.74,671300,17193,4,Resort,non-chain,1/9/16,16/10/16,19/10/16,weekend
128,96.46,577382,17193,3,Resort,non-chain,1/9/16,3/10/16,5/10/16,weekday
129,99.94,97372,17193,3,Resort,non-chain,1/9/16,18/10/16,20/10/16,weekday
130,67.9,2321888,17193,2,Guest House / Bed & Breakfast,non-chain,1/9/16,16/10/16,18/10/16,weekend
131,127.82,91124,17193,5,Resort,non-chain,1/9/16,17/10/16,19/10/16,weekday
132,198.95,674892,17193,4,Resort,non-chain,1/9/16,14/10/16,17/10/16,weekday
133,63.04,1244576,17193,4,Hotel,chain,1/9/16,13/10/16,14/10/16,weekday
134,192.59,1514176,17193,3,Resort,non-chain,1/9/16,28/10/16,30/10/16,weekday
135,262.48,131088,17193,4,Resort,non-chain,2/9/16,7/10/16,10/10/16,weekday
136,308.66,1243334,17193,4,Hotel,chain,2/9/16,26/10/16,28/10/16,weekday
137,1313.07,1968534,17193,5,Resort,chain,2/9/16,3/10/16,5/10/16,weekday
138,126.82,1563948,17193,3,Guest House / Bed & Breakfast,non-chain,2/9/16,5/10/16,8/10/16,weekday
139,25.88,1861852,17193,2,Serviced Apartment,non-chain,2/9/16,28/10/16,31/10/16,weekday
140,166.68,2319462,17193,3,Hotel,non-chain,2/9/16,18/10/16,20/10/16,weekday
141,166.68,1097136,17193,3,Resort,non-chain,3/9/16,6/10/16,8/10/16,weekday
142,85.44,1136726,17193,3,Guest House / Bed & Breakfast,non-chain,3/9/16,1/10/16,3/10/16,weekend
143,69.78,1248060,17193,3,Hotel,non-chain,3/9/16,7/10/16,10/10/16,weekday
144,215.6,143998,17193,4,Resort,non-chain,3/9/16,28/10/16,29/10/16,weekday
145,106.3,606968,17193,4,Resort Villa,chain,3/9/16,4/10/16,7/10/16,weekday
146,87.24,583688,17193,3,Bungalow,non-chain,4/9/16,24/10/16,27/10/16,weekday
147,90.94,482214,17193,4,Resort,non-chain,4/9/16,13/10/16,14/10/16,weekday
148,56.32,623836,17193,3,Hotel,non-chain,4/9/16,24/10/16,27/10/16,weekday
149,96.72,1822964,17193,4,Hotel,chain,4/9/16,7/10/16,10/10/16,weekday
150,293.06,674892,17193,4,Resort,non-chain,4/9/16,25/10/16,28/10/16,weekday
151,124.02,606968,17193,4,Resort Villa,chain,4/9/16,22/10/16,25/10/16,weekend
152,121.46,606968,17193,4,Resort Villa,chain,4/9/16,20/10/16,22/10/16,weekday
153,59.14,599830,17193,3,Hotel,non-chain,4/9/16,18/10/16,19/10/16,weekday
154,59.14,599830,17193,3,Hotel,non-chain,4/9/16,19/10/16,20/10/16,weekday
155,59.68,461140,17193,3,Hotel,non-chain,5/9/16,14/10/16,15/10/16,weekday
156,121.98,2387924,17193,3.5,Hotel,non-chain,5/9/16,19/10/16,20/10/16,weekday
157,87.14,1244576,17193,4,Hotel,chain,5/9/16,11/10/16,12/10/16,weekday
158,102.22,2122366,17193,3,Hotel,non-chain,5/9/16,20/10/16,23/10/16,weekday
159,173.88,582268,17193,4,Resort,chain,5/9/16,17/10/16,19/10/16,weekday
160,79.72,1244576,17193,4,Hotel,chain,5/9/16,13/10/16,14/10/16,weekday
161,79.26,1249978,17193,1,Bungalow,non-chain,5/9/16,19/10/16,20/10/16,weekday
162,128.66,91124,17193,5,Resort,non-chain,5/9/16,17/10/16,19/10/16,weekday
163,125.48,480820,17193,3,Resort Villa,non-chain,5/9/16,1/10/16,2/10/16,weekend
164,39.54,2516782,17193,3,Guest House / Bed & Breakfast,non-chain,5/9/16,18/10/16,20/10/16,weekday
165,50.84,581326,17193,2,Guest House / Bed & Breakfast,non-chain,5/9/16,3/10/16,4/10/16,weekday
166,69.1,496858,17193,2,Resort,non-chain,5/9/16,9/10/16,12/10/16,weekend
167,227.19,823638,17193,2,Resort,non-chain,5/9/16,16/10/16,19/10/16,weekend
168,89.29,818398,17193,3,Resort,non-chain,5/9/16,5/10/16,7/10/16,weekday
169,88.6,1136726,17193,3,Guest House / Bed & Breakfast,non-chain,5/9/16,8/10/16,9/10/16,weekend
170,28.9,1753620,17193,1,Guest House / Bed & Breakfast,non-chain,6/9/16,9/10/16,10/10/16,weekend
171,172.66,979868,17193,3,Resort Villa,non-chain,6/9/16,4/10/16,6/10/16,weekday
172,19.84,510444,17193,2,Hotel,non-chain,6/9/16,6/10/16,8/10/16,weekday
173,214.9,12198,17193,4,Resort,non-chain,6/9/16,3/10/16,6/10/16,weekday
174,121.68,606968,17193,4,Resort Villa,chain,6/9/16,10/10/16,12/10/16,weekday
175,103,1636646,17193,3,Hotel,non-chain,6/9/16,27/10/16,28/10/16,weekday
176,58.2,605656,17193,3,Resort,non-chain,6/9/16,5/11/16,7/11/16,weekend
177,75.02,387170,17193,3,Hotel,non-chain,6/9/16,2/10/16,4/10/16,weekend
178,47.26,461140,17193,3,Hotel,non-chain,6/9/16,28/10/16,31/10/16,weekday
179,166.44,677150,17193,3,Resort,non-chain,6/9/16,1/10/16,2/10/16,weekend
180,140.66,91124,17193,5,Resort,non-chain,6/9/16,5/11/16,6/11/16,weekend
181,108.38,669502,17193,3,Resort Villa,non-chain,6/9/16,18/10/16,20/10/16,weekday
182,51.68,581326,17193,2,Guest House / Bed & Breakfast,non-chain,6/9/16,13/10/16,16/10/16,weekday
183,198.92,1071000,17193,3,Resort Villa,non-chain,6/9/16,22/10/16,23/10/16,weekend
184,27.36,1937348,17193,0,Guest House / Bed & Breakfast,non-chain,7/9/16,13/10/16,16/10/16,weekday
185,62.94,496858,17193,2,Resort,non-chain,7/9/16,11/10/16,13/10/16,weekday
186,150.52,2319462,17193,3,Hotel,non-chain,7/9/16,4/10/16,5/10/16,weekday
187,58.84,1244576,17193,4,Hotel,chain,7/9/16,9/10/16,10/10/16,weekend
188,40.9,866032,17193,1,Guest House / Bed & Breakfast,non-chain,7/9/16,24/10/16,25/10/16,weekday
189,121.4,2531984,17193,4,Resort,non-chain,7/9/16,5/10/16,7/10/16,weekday
190,135.28,1330682,17193,4,Hotel,non-chain,7/9/16,19/10/16,22/10/16,weekday
191,63.92,890782,17193,4,Resort,non-chain,7/9/16,7/10/16,9/10/16,weekday
192,129.52,480820,17193,3,Resort Villa,non-chain,7/9/16,1/11/16,4/11/16,weekday
193,218.26,1243334,17193,4,Hotel,chain,7/9/16,7/10/16,10/10/16,weekday
194,54.54,599830,17193,3,Hotel,non-chain,7/9/16,6/11/16,7/11/16,weekend
195,61.36,599830,17193,3,Hotel,non-chain,7/9/16,6/11/16,7/11/16,weekend
196,114.84,468892,17193,3,Hotel,non-chain,7/9/16,4/11/16,6/11/16,weekday
197,150.52,2319462,17193,3,Hotel,non-chain,7/9/16,8/10/16,9/10/16,weekend
198,222.62,1243334,17193,4,Hotel,chain,7/9/16,7/10/16,10/10/16,weekday
199,70.34,2231640,17193,3,Guest House / Bed & Breakfast,non-chain,7/9/16,25/10/16,27/10/16,weekday
200,42.88,2233386,17193,3,Guest House / Bed & Breakfast,non-chain,7/9/16,28/10/16,29/10/16,weekday
201,145.48,91124,17193,5,Resort,non-chain,7/9/16,5/10/16,8/10/16,weekday
202,96.44,2231640,17193,3,Guest House / Bed & Breakfast,non-chain,7/9/16,26/10/16,27/10/16,weekday
203,89.42,1244576,17193,4,Hotel,chain,7/9/16,25/10/16,28/10/16,weekday
204,260.68,156510,17193,4,Hotel,non-chain,8/9/16,10/10/16,11/10/16,weekday
205,1038.22,1968534,17193,5,Resort,chain,8/9/16,22/10/16,24/10/16,weekend
206,14.79,2362096,17193,3,Guest House / Bed & Breakfast,non-chain,8/9/16,1/11/16,4/11/16,weekday
207,67.78,2321888,17193,2,Guest House / Bed & Breakfast,non-chain,8/9/16,12/10/16,13/10/16,weekday
208,52.92,890782,17193,4,Resort,non-chain,8/9/16,3/10/16,4/10/16,weekday
209,161.5,91124,17193,5,Resort,non-chain,8/9/16,29/10/16,1/11/16,weekend
210,122.18,606968,17193,4,Resort Villa,chain,8/9/16,15/10/16,18/10/16,weekend
