book_id,ADR_USD,hotel_id,city_id,star_rating,accommodation_type_name,chain_hotel,booking_date,checkin_date,checkout_date,checkin_day
1,134.68,2310612,5085,3,Hotel,chain,5/8/16,3/10/16,4/10/16,weekday
2,343.98,100188,5085,5,Hotel,chain,5/8/16,2/10/16,4/10/16,weekend
3,644.16,1523294,5085,4,Hotel,chain,5/8/16,2/10/16,4/10/16,weekend
4,205.31,1251372,5085,3,Hotel,non-chain,6/8/16,3/10/16,6/10/16,weekday
5,62.16,573436,5085,1,Guest House / Bed & Breakfast,non-chain,6/8/16,1/10/16,2/10/16,weekend
6,314.2,508110,5085,4,Resort,non-chain,6/8/16,3/10/16,4/10/16,weekday
7,404.02,100188,5085,5,Hotel,chain,7/8/16,2/10/16,4/10/16,weekend
8,194.24,481134,5085,3,Hotel,chain,7/8/16,1/10/16,3/10/16,weekend
9,180.06,103004,5085,3,Hotel,non-chain,8/8/16,6/10/16,8/10/16,weekday
10,127.72,460662,5085,2,Hotel,non-chain,8/8/16,4/10/16,5/10/16,weekday
11,447.1,100188,5085,5,Hotel,chain,9/8/16,3/10/16,5/10/16,weekday
12,659.8,1297496,5085,4,Hotel,non-chain,9/8/16,1/10/16,4/10/16,weekend
13,479.6,496954,5085,5,Ryokan,non-chain,9/8/16,5/10/16,6/10/16,weekday
14,190.96,1251372,5085,3,Hotel,non-chain,9/8/16,3/10/16,4/10/16,weekday
15,336.54,2231812,5085,3.5,Hotel,chain,9/8/16,8/10/16,11/10/16,weekend
16,281.88,2231812,5085,3.5,Hotel,chain,10/8/16,8/10/16,11/10/16,weekend
17,504.16,100188,5085,5,Hotel,chain,10/8/16,1/10/16,3/10/16,weekend
18,566.2,100188,5085,5,Hotel,chain,10/8/16,1/10/16,3/10/16,weekend
19,386.28,178860,5085,3,Hotel,non-chain,10/8/16,7/10/16,8/10/16,weekday
20,386.28,178860,5085,3,Hotel,non-chain,10/8/16,7/10/16,8/10/16,weekday
21,164.7,323470,5085,3,Hotel,non-chain,10/8/16,3/10/16,4/10/16,weekday
22,265.33,2395552,5085,3,Hotel,chain,10/8/16,8/10/16,10/10/16,weekend
23,253.65,1251372,5085,3,Hotel,non-chain,11/8/16,7/10/16,10/10/16,weekday
24,253.65,1251372,5085,3,Hotel,non-chain,11/8/16,7/10/16,10/10/16,weekday
25,164.88,323470,5085,3,Hotel,non-chain,11/8/16,2/10/16,4/10/16,weekend
26,382.88,100188,5085,5,Hotel,chain,11/8/16,5/10/16,6/10/16,weekday
27,274.82,1251372,5085,3,Hotel,non-chain,11/8/16,1/10/16,2/10/16,weekend
28,179.08,2310612,5085,3,Hotel,chain,11/8/16,7/10/16,10/10/16,weekday
29,520.98,100188,5085,5,Hotel,chain,11/8/16,5/10/16,8/10/16,weekday
30,238.28,1251372,5085,3,Hotel,non-chain,12/8/16,2/10/16,3/10/16,weekend
31,237.6,178860,5085,3,Hotel,non-chain,12/8/16,9/10/16,10/10/16,weekend
32,213.5,1251372,5085,3,Hotel,non-chain,12/8/16,4/10/16,5/10/16,weekday
33,159.74,102994,5085,3,Hotel,non-chain,13/8/16,9/10/16,10/10/16,weekend
34,156.57,585676,5085,3.5,Hotel,chain,13/8/16,1/10/16,3/10/16,weekend
35,232.38,1251372,5085,3,Hotel,non-chain,13/8/16,6/10/16,7/10/16,weekday
36,213.02,1251372,5085,3,Hotel,non-chain,13/8/16,6/10/16,7/10/16,weekday
37,275.28,2310612,5085,3,Hotel,chain,14/8/16,6/10/16,8/10/16,weekday
38,241.77,1251372,5085,3,Hotel,non-chain,14/8/16,8/10/16,11/10/16,weekend
39,247.3,103004,5085,3,Hotel,non-chain,14/8/16,6/10/16,9/10/16,weekday
40,411.32,178860,5085,3,Hotel,non-chain,15/8/16,14/10/16,17/10/16,weekday
41,172.1,563268,5085,3,Hotel,chain,15/8/16,2/10/16,4/10/16,weekend
42,71.93,561636,5085,1,Capsule Hotel,non-chain,15/8/16,8/10/16,10/10/16,weekend
43,1467.78,100188,5085,5,Hotel,chain,15/8/16,8/10/16,9/10/16,weekend
44,1350.36,100188,5085,5,Hotel,chain,15/8/16,9/10/16,10/10/16,weekend
45,79.92,561636,5085,1,Capsule Hotel,non-chain,15/8/16,14/10/16,15/10/16,weekday
46,79.92,561636,5085,1,Capsule Hotel,non-chain,15/8/16,14/10/16,15/10/16,weekday
47,244.86,2310612,5085,3,Hotel,chain,15/8/16,8/10/16,9/10/16,weekend
48,554.54,100188,5085,5,Hotel,chain,15/8/16,7/10/16,8/10/16,weekday
49,278.62,1756330,5085,2,Hotel,non-chain,16/8/16,3/10/16,5/10/16,weekday
50,280.22,473378,5085,3,Hotel,non-chain,16/8/16,1/10/16,4/10/16,weekend
51,228.62,1251372,5085,3,Hotel,non-chain,16/8/16,6/10/16,9/10/16,weekday
52,59.83,2312204,5085,3,Hotel,chain,16/8/16,2/10/16,4/10/16,weekend
53,247.13,323470,5085,3,Hotel,non-chain,16/8/16,13/10/16,16/10/16,weekday
54,79.06,561636,5085,1,Capsule Hotel,non-chain,16/8/16,8/10/16,9/10/16,weekend
55,521.34,100188,5085,5,Hotel,chain,16/8/16,5/10/16,7/10/16,weekday
56,104.88,460662,5085,2,Hotel,non-chain,16/8/16,3/10/16,4/10/16,weekday
57,467.04,893732,5085,4,Hotel,chain,16/8/16,1/10/16,2/10/16,weekend
58,233.43,1251372,5085,3,Hotel,non-chain,16/8/16,6/10/16,9/10/16,weekday
59,46.24,1469334,5085,1,Capsule Hotel,non-chain,16/8/16,15/10/16,16/10/16,weekend
60,51.82,561636,5085,1,Capsule Hotel,non-chain,16/8/16,9/10/16,10/10/16,weekend
61,60.14,561636,5085,1,Capsule Hotel,non-chain,16/8/16,9/10/16,10/10/16,weekend
62,101.05,525780,5085,3,Hotel,non-chain,17/8/16,16/10/16,18/10/16,weekend
63,108.48,563268,5085,3,Hotel,chain,17/8/16,10/10/16,11/10/16,weekday
64,212.74,2231812,5085,3.5,Hotel,chain,17/8/16,11/10/16,12/10/16,weekday
65,251.42,2231812,5085,3.5,Hotel,chain,17/8/16,14/10/16,15/10/16,weekday
66,289.54,1251372,5085,3,Hotel,non-chain,17/8/16,9/10/16,10/10/16,weekend
67,376.58,815734,5085,3.5,Hotel,chain,17/8/16,12/10/16,15/10/16,weekday
68,347.36,100188,5085,5,Hotel,chain,17/8/16,4/10/16,5/10/16,weekday
69,53.1,561636,5085,1,Capsule Hotel,non-chain,17/8/16,9/10/16,10/10/16,weekend
70,60.68,561636,5085,1,Capsule Hotel,non-chain,17/8/16,9/10/16,10/10/16,weekend
71,80.66,1058320,5085,1,Capsule Hotel,non-chain,17/8/16,12/10/16,15/10/16,weekday
72,314.93,815734,5085,3.5,Hotel,chain,17/8/16,5/10/16,7/10/16,weekday
73,38.85,1372596,5085,1,Guest House / Bed & Breakfast,non-chain,17/8/16,12/10/16,14/10/16,weekday
74,386.27,178860,5085,3,Hotel,non-chain,18/8/16,2/10/16,5/10/16,weekend
75,259.11,1756330,5085,2,Hotel,non-chain,18/8/16,7/10/16,10/10/16,weekday
76,251.34,1725914,5085,3,Hotel,chain,18/8/16,8/10/16,10/10/16,weekend
77,365.98,178860,5085,3,Hotel,non-chain,18/8/16,6/10/16,8/10/16,weekday
78,83.72,460662,5085,2,Hotel,non-chain,18/8/16,7/10/16,8/10/16,weekday
79,214.76,1251372,5085,3,Hotel,non-chain,18/8/16,14/10/16,15/10/16,weekday
80,189.25,1251372,5085,3,Hotel,non-chain,18/8/16,17/10/16,19/10/16,weekday
81,231.04,2231812,5085,3.5,Hotel,chain,18/8/16,4/10/16,6/10/16,weekday
82,323.46,2231812,5085,3.5,Hotel,chain,18/8/16,7/10/16,9/10/16,weekday
83,232.75,585676,5085,3.5,Hotel,chain,19/8/16,8/10/16,11/10/16,weekend
84,374.82,925208,5085,4,Hotel,chain,19/8/16,2/10/16,4/10/16,weekend
85,443.38,100188,5085,5,Hotel,chain,19/8/16,11/10/16,13/10/16,weekday
86,640.7,1297496,5085,4,Hotel,non-chain,19/8/16,3/10/16,6/10/16,weekday
87,64.66,561636,5085,1,Capsule Hotel,non-chain,19/8/16,6/10/16,7/10/16,weekday
88,59.22,561636,5085,1,Capsule Hotel,non-chain,19/8/16,16/10/16,17/10/16,weekend
89,150.72,585676,5085,3.5,Hotel,chain,20/8/16,9/10/16,11/10/16,weekend
90,206.84,563268,5085,3,Hotel,chain,20/8/16,17/10/16,18/10/16,weekday
91,172.94,2539774,5085,1,Hotel,non-chain,20/8/16,4/10/16,5/10/16,weekday
92,234.62,1251372,5085,3,Hotel,non-chain,20/8/16,7/10/16,8/10/16,weekday
93,215.06,1251372,5085,3,Hotel,non-chain,20/8/16,6/10/16,8/10/16,weekday
94,233.56,1251372,5085,3,Hotel,non-chain,20/8/16,7/10/16,10/10/16,weekday
95,298.07,468916,5085,3,Hotel,chain,21/8/16,11/10/16,14/10/16,weekday
96,415.16,100188,5085,5,Hotel,chain,21/8/16,17/10/16,19/10/16,weekday
97,768.74,925208,5085,4,Hotel,chain,21/8/16,8/10/16,10/10/16,weekend
98,265.46,2238974,5085,3,Hotel,chain,21/8/16,1/10/16,2/10/16,weekend
99,526.54,178860,5085,3,Hotel,non-chain,21/8/16,15/10/16,16/10/16,weekend
100,61.96,1373148,5085,1.5,Hostel,non-chain,21/8/16,3/10/16,5/10/16,weekday
101,226.21,1251372,5085,3,Hotel,non-chain,21/8/16,13/10/16,16/10/16,weekday
102,80.68,561636,5085,1,Capsule Hotel,non-chain,22/8/16,14/10/16,15/10/16,weekday
103,528.56,1297496,5085,4,Hotel,non-chain,22/8/16,20/10/16,21/10/16,weekday
104,357.5,2532724,5085,1,Apartment,chain,22/8/16,8/10/16,11/10/16,weekend
105,89.62,1058320,5085,1,Capsule Hotel,non-chain,22/8/16,1/10/16,3/10/16,weekend
106,467.21,178860,5085,3,Hotel,non-chain,22/8/16,15/10/16,17/10/16,weekend
107,276.12,815734,5085,3.5,Hotel,chain,22/8/16,6/10/16,9/10/16,weekday
108,227.5,1251372,5085,3,Hotel,non-chain,22/8/16,15/10/16,17/10/16,weekend
109,56.48,561636,5085,1,Capsule Hotel,non-chain,23/8/16,6/10/16,7/10/16,weekday
110,63.56,561636,5085,1,Capsule Hotel,non-chain,23/8/16,6/10/16,7/10/16,weekday
111,185.36,323470,5085,3,Hotel,non-chain,23/8/16,19/10/16,21/10/16,weekday
112,177.48,1251372,5085,3,Hotel,non-chain,23/8/16,17/10/16,18/10/16,weekday
113,354.78,85582,5085,4,Hotel,non-chain,23/8/16,12/10/16,13/10/16,weekday
114,245.82,1251372,5085,3,Hotel,non-chain,23/8/16,7/10/16,9/10/16,weekday
115,265.34,1251372,5085,3,Hotel,non-chain,23/8/16,8/10/16,10/10/16,weekend
116,298.98,2621064,5085,3,Ryokan,non-chain,23/8/16,1/10/16,2/10/16,weekend
117,446.26,893732,5085,4,Hotel,chain,23/8/16,2/10/16,3/10/16,weekend
118,491.26,1005474,5085,4,Hotel,chain,23/8/16,3/10/16,4/10/16,weekday
119,135.7,85582,5085,4,Hotel,non-chain,24/8/16,23/10/16,25/10/16,weekend
120,193.07,468916,5085,3,Hotel,chain,24/8/16,19/10/16,22/10/16,weekday
121,159.89,798932,5085,3,Hotel,non-chain,24/8/16,18/10/16,20/10/16,weekday
122,293.66,330560,5085,3,Hotel,chain,24/8/16,7/10/16,9/10/16,weekday
123,83.82,330920,5085,2,Serviced Apartment,chain,24/8/16,2/10/16,3/10/16,weekend
124,249.92,1251372,5085,3,Hotel,non-chain,24/8/16,21/10/16,23/10/16,weekday
125,298.1,2238974,5085,3,Hotel,chain,24/8/16,6/10/16,7/10/16,weekday
126,375.54,2238974,5085,3,Hotel,chain,24/8/16,6/10/16,7/10/16,weekday
127,40.46,1372596,5085,1,Guest House / Bed & Breakfast,non-chain,24/8/16,3/10/16,6/10/16,weekday
128,202.52,563268,5085,3,Hotel,chain,24/8/16,4/10/16,5/10/16,weekday
129,208.82,1251372,5085,3,Hotel,non-chain,25/8/16,24/10/16,25/10/16,weekday
130,817.72,391812,5085,5,Hotel,chain,25/8/16,20/10/16,21/10/16,weekday
131,208.59,1251372,5085,3,Hotel,non-chain,25/8/16,9/10/16,12/10/16,weekend
132,71.82,1519508,5085,1,Hostel,non-chain,25/8/16,7/10/16,8/10/16,weekday
133,218.72,1251372,5085,3,Hotel,non-chain,25/8/16,20/10/16,23/10/16,weekday
134,164.86,1251372,5085,3,Hotel,non-chain,25/8/16,24/10/16,25/10/16,weekday
135,305.75,323470,5085,3,Hotel,non-chain,25/8/16,22/10/16,25/10/16,weekend
136,146.05,323470,5085,3,Hotel,non-chain,25/8/16,22/10/16,25/10/16,weekend
137,146.05,323470,5085,3,Hotel,non-chain,25/8/16,22/10/16,25/10/16,weekend
138,104.4,2312204,5085,3,Hotel,chain,25/8/16,9/10/16,10/10/16,weekend
139,277.61,1251372,5085,3,Hotel,non-chain,25/8/16,22/10/16,24/10/16,weekend
140,193.42,563268,5085,3,Hotel,chain,25/8/16,18/10/16,19/10/16,weekday
141,206.28,468916,5085,3,Hotel,chain,25/8/16,11/10/16,12/10/16,weekday
142,456.51,893732,5085,4,Hotel,chain,25/8/16,20/10/16,23/10/16,weekday
143,235.01,1251372,5085,3,Hotel,non-chain,26/8/16,20/10/16,23/10/16,weekday
144,131.98,678718,5085,1,Capsule Hotel,non-chain,26/8/16,22/10/16,23/10/16,weekend
145,160.84,561636,5085,1,Capsule Hotel,non-chain,26/8/16,22/10/16,23/10/16,weekend
146,214.06,563268,5085,3,Hotel,chain,26/8/16,6/10/16,7/10/16,weekday
147,202.94,563268,5085,3,Hotel,chain,26/8/16,9/10/16,11/10/16,weekend
148,351.28,178860,5085,3,Hotel,non-chain,26/8/16,3/10/16,4/10/16,weekday
149,61.76,573436,5085,1,Guest House / Bed & Breakfast,non-chain,26/8/16,1/10/16,2/10/16,weekend
150,57.5,573436,5085,1,Guest House / Bed & Breakfast,non-chain,26/8/16,2/10/16,3/10/16,weekend
151,56.3,561636,5085,1,Capsule Hotel,non-chain,26/8/16,19/10/16,20/10/16,weekday
152,64.34,561636,5085,1,Capsule Hotel,non-chain,26/8/16,19/10/16,20/10/16,weekday
153,89.52,561636,5085,1,Capsule Hotel,non-chain,26/8/16,1/10/16,3/10/16,weekend
154,441.12,100188,5085,5,Hotel,chain,26/8/16,11/10/16,12/10/16,weekday
155,352.14,925208,5085,4,Hotel,chain,26/8/16,2/10/16,4/10/16,weekend
156,198.76,468916,5085,3,Hotel,chain,26/8/16,11/10/16,13/10/16,weekday
