book_id,ADR_USD,hotel_id,city_id,star_rating,accommodation_type_name,chain_hotel,booking_date,checkin_date,checkout_date,checkin_day
1,293.42,219762,16808,3,Hotel,non-chain,4/8/16,2/10/16,5/10/16,weekend
2,38.94,1005310,16808,1,Hostel,non-chain,5/8/16,2/10/16,3/10/16,weekend
3,38.94,1005310,16808,1,Hostel,non-chain,5/8/16,2/10/16,3/10/16,weekend
4,112.7,219762,16808,3,Hotel,non-chain,7/8/16,6/10/16,7/10/16,weekday
5,291.64,16146,16808,4,Hotel,non-chain,7/8/16,6/10/16,8/10/16,weekday
6,252.98,363664,16808,4,Hotel,chain,9/8/16,1/10/16,3/10/16,weekend
7,264.52,219762,16808,3,Hotel,non-chain,9/8/16,3/10/16,4/10/16,weekday
8,190.26,11198,16808,4,Hotel,chain,9/8/16,1/10/16,2/10/16,weekend
9,148.04,11198,16808,4,Hotel,chain,9/8/16,8/10/16,9/10/16,weekend
10,131.5,219762,16808,3,Hotel,non-chain,10/8/16,7/10/16,9/10/16,weekday
11,34.57,800100,16808,1,Guest House / Bed & Breakfast,non-chain,10/8/16,2/10/16,5/10/16,weekend
12,231.47,16146,16808,4,Hotel,non-chain,11/8/16,6/10/16,8/10/16,weekday
13,278.58,16146,16808,4,Hotel,non-chain,12/8/16,9/10/16,10/10/16,weekend
14,256.39,219762,16808,3,Hotel,non-chain,12/8/16,1/10/16,4/10/16,weekend
15,157.3,219762,16808,3,Hotel,non-chain,12/8/16,7/10/16,8/10/16,weekday
16,118.62,219762,16808,3,Hotel,non-chain,12/8/16,7/10/16,8/10/16,weekday
17,157.3,219762,16808,3,Hotel,non-chain,12/8/16,7/10/16,8/10/16,weekday
18,241.28,16146,16808,4,Hotel,non-chain,12/8/16,1/10/16,2/10/16,weekend
19,185.65,16146,16808,4,Hotel,non-chain,13/8/16,7/10/16,9/10/16,weekday
20,224.6,890736,16808,4,Hotel,chain,13/8/16,9/10/16,11/10/16,weekend
21,195.34,1545890,16808,4,Hotel,non-chain,13/8/16,6/10/16,7/10/16,weekday
22,241.08,890736,16808,4,Hotel,chain,13/8/16,7/10/16,9/10/16,weekday
23,288.87,16146,16808,4,Hotel,non-chain,14/8/16,5/10/16,8/10/16,weekday
24,169.76,16146,16808,4,Hotel,non-chain,14/8/16,7/10/16,9/10/16,weekday
25,176.88,16146,16808,4,Hotel,non-chain,14/8/16,8/10/16,9/10/16,weekend
26,114.88,1005310,16808,1,Hostel,non-chain,14/8/16,1/10/16,3/10/16,weekend
27,114.88,1005310,16808,1,Hostel,non-chain,14/8/16,3/10/16,5/10/16,weekday
28,234.66,1398610,16808,4,Hotel,non-chain,15/8/16,2/10/16,4/10/16,weekend
29,176.05,16146,16808,4,Hotel,non-chain,15/8/16,9/10/16,12/10/16,weekend
30,107.46,1334648,16808,1,Hostel,non-chain,15/8/16,12/10/16,13/10/16,weekday
31,149.98,356332,16808,3,Hotel,non-chain,15/8/16,8/10/16,10/10/16,weekend
32,251.08,16146,16808,4,Hotel,non-chain,15/8/16,11/10/16,14/10/16,weekday
33,360.86,2262190,16808,4,Hotel,non-chain,15/8/16,14/10/16,17/10/16,weekday
34,251.49,15440,16808,3,Hotel,non-chain,16/8/16,1/10/16,3/10/16,weekend
35,131.9,670498,16808,1,Hostel,non-chain,16/8/16,15/10/16,17/10/16,weekend
36,96.7,181544,16808,3,Hotel,chain,16/8/16,14/10/16,16/10/16,weekday
37,150.28,1093720,16808,3,Hostel,non-chain,16/8/16,8/10/16,10/10/16,weekend
38,198.18,356332,16808,3,Hotel,non-chain,16/8/16,1/10/16,3/10/16,weekend
39,182.4,356332,16808,3,Hotel,non-chain,17/8/16,14/10/16,17/10/16,weekday
40,317.45,1398610,16808,4,Hotel,non-chain,17/8/16,4/10/16,7/10/16,weekday
