book_id,ADR_USD,hotel_id,city_id,star_rating,accommodation_type_name,chain_hotel,booking_date,checkin_date,checkout_date,checkin_day
1,90.6,374026,8584,4,Hotel,chain,8/8/16,6/10/16,7/10/16,weekday
2,65.7,1167514,8584,3,Hotel,non-chain,9/8/16,4/10/16,6/10/16,weekday
3,73.08,1167514,8584,3,Hotel,non-chain,9/8/16,2/10/16,3/10/16,weekend
4,51.02,217094,8584,3,Serviced Apartment,chain,10/8/16,7/10/16,10/10/16,weekday
5,166.16,97014,8584,4,Resort,non-chain,10/8/16,1/10/16,2/10/16,weekend
6,74.7,1167514,8584,3,Hotel,non-chain,14/8/16,3/10/16,6/10/16,weekday
7,57.18,1138260,8584,3,Hotel,non-chain,14/8/16,4/10/16,6/10/16,weekday
8,44,2516708,8584,4,Hotel,non-chain,15/8/16,1/10/16,2/10/16,weekend
9,81.36,2155840,8584,3,Hotel,non-chain,18/8/16,5/10/16,7/10/16,weekday
10,64.16,217132,8584,3,Hotel,chain,18/8/16,8/10/16,10/10/16,weekend
11,55.05,330702,8584,3,Hotel,non-chain,18/8/16,3/10/16,4/10/16,weekday
12,125.22,2122458,8584,4,Resort,chain,19/8/16,2/10/16,3/10/16,weekend
13,77.83,1167514,8584,3,Hotel,non-chain,19/8/16,10/10/16,13/10/16,weekday
14,46.74,298160,8584,4,Hotel,non-chain,20/8/16,9/10/16,10/10/16,weekend
15,81.68,925230,8584,2,Hotel,non-chain,20/8/16,16/10/16,17/10/16,weekend
16,67.37,2155840,8584,3,Hotel,non-chain,20/8/16,5/10/16,7/10/16,weekday
17,46.02,1196262,8584,3,Hotel,non-chain,20/8/16,8/10/16,10/10/16,weekend
18,156.22,2122458,8584,4,Resort,chain,21/8/16,7/10/16,9/10/16,weekday
19,81.52,2155840,8584,3,Hotel,non-chain,21/8/16,7/10/16,8/10/16,weekday
20,81.52,2155840,8584,3,Hotel,non-chain,21/8/16,8/10/16,9/10/16,weekend
21,81.52,2155840,8584,3,Hotel,non-chain,21/8/16,9/10/16,10/10/16,weekend
22,42.3,611840,8584,2,Serviced Apartment,non-chain,22/8/16,19/10/16,22/10/16,weekday
23,195.26,2122458,8584,4,Resort,chain,22/8/16,14/10/16,16/10/16,weekday
24,156.22,2122458,8584,4,Resort,chain,22/8/16,14/10/16,16/10/16,weekday
25,124.96,2122458,8584,4,Resort,chain,22/8/16,14/10/16,16/10/16,weekday
26,70.72,1167514,8584,3,Hotel,non-chain,23/8/16,19/10/16,21/10/16,weekday
27,38.42,330702,8584,3,Hotel,non-chain,23/8/16,3/10/16,4/10/16,weekday
